№,,Наименование продукта,,,,Ед. изм.,Брутто в ед. изм.,,"Вес брутто, кг",," Вес нетто или п/ф, кг",,"Вес готового продукта, кг",Технология приготовления,,,,
1,Шанежка провансаль,Тесто арбатское п/ф,,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,051","Формовка:  Тесто для приготовления шанег брать на разделку  только через 40 – 50мин после замеса .Тесто должно увеличиться в объеме  в 1,5-2 раза,быть мягким, Тесто делить на заготовки массой 60 гр, округлить .Тестовые заготовки укладывать на смазанный маслом плоский алюминиевый лист размеры 600х400 мм по 15 шт  (5 вдоль листа х 3 поперек листа), расстояние между заготовками 3-4 см, поставить в расстойку.

Расстойка Расстоечный шкаф Восход: Выставить регулятор температуры в положение 60. Воду в поддон наливать каждые 3 часа. Использовать проточную воду t=+20…+25°c. Время расстойки 30-40 мин. до максимального обьема, но еще упругого теста не опадающего при отделке

Выпечка Печь подовая: После расстойки выложить  на тестовую заготовку картофельный фарш  , поверхность фарша покрыть начинкой провансаль  20гр(провансаль 15гр и 5гр сыра)  всю  поверхность ,включая боковые  стороны ,поставить в печь. Выпекать при t=200°c ,время выпечки 12-15 мин. Убрать лист с готовой продукцией на стеллаж (шпилька).Смазать растительным маслом.
Температурный режим  для каждой печи подбирается  индивидуально.

Внимание!!!!
Картофельный фарш  ( п/ф приходит не заправленный молоком )– фарш размять , добавить на 960гр  - 50гр горячего молока, перемешать до однородной мягкой консистенции.
Если картофельный фарш  холодный (заправлен  молоком ) –фарш размять руками  до мягкой консистенции ,комочки размять  или протереть через сито, подогреть в микроволновой печи.
Загустевший  фарш разбавить горячей водой  на 1кг фарша 50гр горячей воды.





ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Шанежка провансаль,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,004",,,,,
3,Шанежка провансаль,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,001",,"  0,0010 ",,"0,001",,,,,
4,Шанежка провансаль,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,001",,"0,004",,"  0,0040 ",,"0,000",,,,,
5,Шанежка провансаль,Пюре картофельное (картоф+ маргарин)  п/ф 1 кг,,,,кг,"0,040",,"0,040",,"  0,0400 ",,"0,034",,,,,
6,Шанежка провансаль,Начинка провансаль с сыром  п/ф 1 кг,,,,кг,"0,030",,"0,030",,"  0,0300 ",,"0,030",,,,,
7,Шанежка провансаль,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
8,,,,,,,,,,, ,,,,,,,
9,,,,,,,,,,, ,,,,,,,
10,,,,,,,,,,, ,,,,,,,
11,,,,,,,,,,, ,,,,,,,
12,,,,,,,,,,, ,,,,,,,
13,,,,,,,,,,, ,,,,,,,
14,,,,,,,,,,, ,,,,,,,
15,,,,,,,,,,, ,,,,,,,
16,,,,,,,,,,, ,,,,,,,
17,,,,,,,,,,, ,,,,,,,
18,,,,,,,,,,, ,,,,,,,
19,,,,,,,,,,, ,,,,,,,
20,,,,,,,,,,, ,,,,,,,
21,,,,,,,,,,, ,,,,,,,
22,,,,,,,,,,, ,,,,,,,
23,,,,,,,,,,, ,,,,,,,
24,,,,,,,,,,, ,,,,,,,
25,,,,,,,,,,, ,,,,,,,
26,,,,,,,,,,, ,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1197",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Шанежка с сыром,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688734,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Шанежка с сыром,,,,,,
 19.03.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Шанежка с сыром,Тесто арбатское п/ф,,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,050","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Шанежка с сыром,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
3,Шанежка с сыром,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,000",,,,,
4,Шанежка с сыром,Начинка для шанежки с сыром п/ф 1 кг,,,,кг,"0,040",,"0,040",,"  0,0400 ",,"0,040",,,,,
5,Шанежка с сыром,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,002",,,,,
6,Шанежка с сыром,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0968",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Булочка Французская,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629428,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Булочка Французская,,,,,,
 01.09.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
№,,Наименование продукта,,,,Ед. изм.,Брутто в ед. изм.,,"Вес брутто, кг",," Вес нетто или п/ф, кг",,"Вес готового продукта, кг",Технология приготовления,,,,
1,Булочка Французская,СЛОЙКА ДРОЖЖЕВАЯ,,,,кг,"1,085",,"1,085",,"  1,0850 ",,"1,085","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Булочка Французская,Крем Заварной Фрио на воде,,,,кг,"0,150",,"0,150",,"  0,1500 ",,"0,150",,,,,
3,Булочка Французская,ИЗЮМ ЧИЩЕННЫЙ,,,,кг,"0,150",,"0,150",,"  0,1500 ",,"0,150",,,,,
4,Булочка Французская,Меланж (битое яйцо 10 шт),,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,060",,,,,
5,Булочка Французская,Сироп для пропитки,,,,кг,"0,060",,"0,060",,"  0,0600 ",,"0,060",,,,,
6,Булочка Французская,Пакеты отрывные (500шт),,,,шт,"12,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"12,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"1,5050",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Датская булочка с маком,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629872,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Датская булочка с маком,,,,,,
 05.11.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Датская булочка с маком,СЛОЙКА ДРОЖЖЕВАЯ,,,,кг,"1,085",,"1,085",,"  1,0850 ",,"1,085","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Датская булочка с маком,"НАЧИНКА МАКОВАЯ (готовая) 12,5",,,,кг,"0,250",,"0,250",,"  0,2500 ",,"0,250",,,,,
3,Датская булочка с маком,Штрейзельная крошка п/ф,,,,кг,"0,075",,"0,075",,"  0,0750 ",,"0,075",,,,,
4,Датская булочка с маком,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,030",,"0,135",,"  0,1350 ",,"0,135",,,,,
5,Датская булочка с маком,Меланж (битое яйцо 10 шт),,,,кг,"0,075",,"0,075",,"  0,0750 ",,"0,075",,,,,
6,Датская булочка с маком,Пакеты отрывные (500шт),,,,шт,"15,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"15,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"1,6200",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Дениш с заварным кремом,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923641056,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Дениш с заварным кремом,,,,,,
 23.01.2023,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Дениш с заварным кремом,СЛОЙКА ДРОЖЖЕВАЯ,,,,кг,"0,080",,"0,080",,"  0,0800 ",,"0,060","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Дениш с заварным кремом,Заварной крем на Дениши,,,,кг,"0,040",,"0,040",,"  0,0400 ",,"0,035",,,,,
3,Дениш с заварным кремом,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,000",,,,,
4,Дениш с заварным кремом,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
5,Дениш с заварным кремом,Сироп для пропитки,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
6,Дениш с заварным кремом,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0950",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Дениш с творогом,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923641062,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Дениш с творогом,,,,,,
 26.01.2023,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Дениш с творогом,СЛОЙКА ДРОЖЖЕВАЯ,,,,кг,"0,080",,"0,080",,"  0,0800 ",,"0,060","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Дениш с творогом,Начинка творожная для розан с загустителем п/ф 1 кг,,,,кг,"0,040",,"0,040",,"  0,0400 ",,"0,035",,,,,
3,Дениш с творогом,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,000",,,,,
4,Дениш с творогом,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
5,Дениш с творогом,Сироп для пропитки,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
6,Дениш с творогом,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0950",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Дениш с яблоком,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923641061,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Дениш с яблоком,,,,,,
 26.01.2023,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Дениш с яблоком,СЛОЙКА ДРОЖЖЕВАЯ,,,,кг,"0,080",,"0,080",,"  0,0800 ",,"0,060","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Дениш с яблоком,фарш яблочный п/ф 1 кг,,,,кг,"0,040",,"0,040",,"  0,0400 ",,"0,035",,,,,
3,Дениш с яблоком,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,000",,,,,
4,Дениш с яблоком,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
5,Дениш с яблоком,Сироп для пропитки,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
6,Дениш с яблоком,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0950",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Дениш сахарный,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923641063,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Дениш сахарный,,,,,,
 26.01.2023,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Дениш сахарный,СЛОЙКА ДРОЖЖЕВАЯ,,,,кг,"0,080",,"0,080",,"  0,0800 ",,"0,060","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Дениш сахарный,САХАР ПЕСОК,,,,кг,"0,010",,"0,010",,"  0,0100 ",,"0,010",,,,,
3,Дениш сахарный,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,  -   ,,"0,000",,,,,
4,Дениш сахарный,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,  -   ,,"0,000",,,,,
5,Дениш сахарный,Сироп для пропитки,,,,кг,"0,005",,"0,005",,  -   ,,"0,000",,,,,
6,Дениш сахарный,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0700",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
КРУАССАН КЛАССИЧЕСКИЙ,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923630275,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,КРУАССАН КЛАССИЧЕСКИЙ,,,,,,
 01.03.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,КРУАССАН КЛАССИЧЕСКИЙ,СЛОЙКА ДРОЖЖЕВАЯ,,,,кг,"0,070",,"0,070",,"  0,0700 ",,"0,070","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,КРУАССАН КЛАССИЧЕСКИЙ,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,004",,,,,
3,КРУАССАН КЛАССИЧЕСКИЙ,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
4,КРУАССАН КЛАССИЧЕСКИЙ,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0790",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Круассан с вареной сгущенкой,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688757,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Круассан с вареной сгущенкой,,,,,,
 01.03.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Круассан с вареной сгущенкой,СЛОЙКА ДРОЖЖЕВАЯ,,,,кг,"0,070",,"0,070",,"  0,0700 ",,"0,056","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Круассан с вареной сгущенкой,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,000",,,,,
3,Круассан с вареной сгущенкой,СГУЩЕНКА ВАРЕНАЯ,,,,кг,"0,015",,"0,015",,"  0,0150 ",,"0,010",,,,,
4,Круассан с вареной сгущенкой,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
5,Круассан с вареной сгущенкой,САХАРНАЯ ПУДРА,,,,кг,"0,003",,"0,003",,"  0,0030 ",,"0,003",,,,,
6,Круассан с вареной сгущенкой,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0690",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
КРУАССАН С ТВОРОГОМ,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629283,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,КРУАССАН С ТВОРОГОМ,,,,,,
 01.03.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,КРУАССАН С ТВОРОГОМ,СЛОЙКА ДРОЖЖЕВАЯ,,,,кг,"0,070",,"0,070",,"  0,0700 ",,"0,070","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,КРУАССАН С ТВОРОГОМ,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,000",,,,,
3,КРУАССАН С ТВОРОГОМ,Начинка творожная для розан с загустителем п/ф 1 кг,,,,кг,"0,020",,"0,020",,"  0,0200 ",,"0,020",,,,,
4,КРУАССАН С ТВОРОГОМ,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
5,КРУАССАН С ТВОРОГОМ,КУНЖУТ БЕЛЫЙ,,,,кг,"0,002",,"0,002",,"  0,0020 ",,"0,002",,,,,
6,КРУАССАН С ТВОРОГОМ,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0920",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Круассан с шоколадом,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688758,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Круассан с шоколадом,,,,,,
 01.03.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Круассан с шоколадом,СЛОЙКА ДРОЖЖЕВАЯ,,,,кг,"0,070",,"0,070",,"  0,0700 ",,"0,056","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Круассан с шоколадом,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,000",,,,,
3,Круассан с шоколадом,ШОКОЛАДНАЯ НАЧИНКА ДЛЯ КРУАССАНОВ,,,,кг,"0,015",,"0,015",,"  0,0150 ",,"0,010",,,,,
4,Круассан с шоколадом,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
5,Круассан с шоколадом,"ГЛАЗУРЬ ШОКОЛАДНАЯ (Чипсы, монолит)",,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
6,Круассан с шоколадом,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,0710",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
СЛОЙКА С АНАНАСОМ,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629874,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,СЛОЙКА С АНАНАСОМ,,,,,,
 01.03.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,СЛОЙКА С АНАНАСОМ,СЛОЙКА ДРОЖЖЕВАЯ,,,,кг,"0,090",,"0,090",,"  0,0900 ",,"0,090","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,СЛОЙКА С АНАНАСОМ,АНАНАС КОНСЕРВИРОВАННЫЙ 430 ГР,,,,шт,"0,023",,"0,010",,"  0,0100 ",,"0,010",,,,,
3,СЛОЙКА С АНАНАСОМ,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,004",,,,,
4,СЛОЙКА С АНАНАСОМ,Меланж (битое яйцо 10 шт),,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
5,СЛОЙКА С АНАНАСОМ,Крем Заварной Фрио на воде,,,,кг,"0,015",,"0,015",,"  0,0150 ",,"0,015",,,,,
6,СЛОЙКА С АНАНАСОМ,Пакеты отрывные (500шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,1240",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
СЛОЙКА С СЫРОМ,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923641169,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,СЛОЙКА С СЫРОМ,,,,,,
 19.10.2023,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,СЛОЙКА С СЫРОМ,СЛОЙКА ДРОЖЖЕВАЯ,,,,кг,"0,100",,"0,100",,"  0,1000 ",,"0,100","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,СЛОЙКА С СЫРОМ,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,004",,,,,
3,СЛОЙКА С СЫРОМ,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,005",,,,,
