№,,Наименование продукта,,,,Ед. изм.,Брутто в ед. изм.,,"Вес брутто, кг",," Вес нетто или п/ф, кг",,"Вес готового продукта, кг",Технология приготовления,,,,
1,Пирог со смородиной,Тесто Сдобное п/ф,,,,кг,"0,540",,"0,540",,"  0,5400 ",,"0,540","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Пирог со смородиной,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,010",,"0,010",,"  0,0100 ",,"0,010",,,,,
3,Пирог со смородиной,Меланж (битое яйцо 10 шт),,,,кг,"0,010",,"0,010",,"  0,0100 ",,"0,010",,,,,
4,Пирог со смородиной,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,001",,"0,004",,"  0,0040 ",,"0,000",,,,,
5,Пирог со смородиной,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,001",,"0,004",,"  0,0040 ",,"0,000",,,,,
6,Пирог со смородиной,Начинка для пирожков (смородина) 1 кг,,,,кг,"0,500",,"0,500",,"  0,5000 ",,"0,500",,,,,
7,Пирог со смородиной,Сироп для пропитки,,,,кг,"0,010",,"0,010",,"  0,0100 ",,"0,010",,,,,
8,Пирог со смородиной,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"2,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"2,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"1,0700",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Пирог яблочный,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629467,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Пирог яблочный,,,,,,
 01.09.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Пирог яблочный,Тесто Сдобное п/ф,,,,кг,"0,540",,"0,540",,"  0,5400 ",,"0,540","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Пирог яблочный,фарш яблочный п/ф 1 кг,,,,кг,"0,500",,"0,500",,"  0,5000 ",,"0,500",,,,,
3,Пирог яблочный,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,001",,"0,004",,"  0,0040 ",,"0,000",,,,,
4,Пирог яблочный,Меланж (битое яйцо 10 шт),,,,кг,"0,008",,"0,008",,"  0,0080 ",,"0,000",,,,,
5,Пирог яблочный,Сироп для пропитки,,,,кг,"0,010",,"0,010",,"  0,0100 ",,"0,000",,,,,
6,Пирог яблочный,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"2,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"2,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"1,0400",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Пирог яблочный с корицей,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629379,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Пирог яблочный с корицей,,,,,,
 24.08.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Пирог яблочный с корицей,Тесто Сдобное п/ф,,,,кг,"0,540",,"0,540",,"  0,5400 ",,"0,540","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Пирог яблочный с корицей,КОРИЦА МОЛОТАЯ,,,,кг,"0,010",,"0,010",,"  0,0100 ",,"0,000",,,,,
3,Пирог яблочный с корицей,фарш яблочный п/ф 1 кг,,,,кг,"0,500",,"0,500",,"  0,5000 ",,"0,500",,,,,
4,Пирог яблочный с корицей,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,001",,"0,004",,"  0,0040 ",,"0,000",,,,,
5,Пирог яблочный с корицей,Меланж (битое яйцо 10 шт),,,,кг,"0,008",,"0,008",,"  0,0080 ",,"0,008",,,,,
6,Пирог яблочный с корицей,Сироп для пропитки,,,,кг,"0,010",,"0,010",,"  0,0100 ",,"0,010",,,,,
7,Пирог яблочный с корицей,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"2,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"2,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"1,0580",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Рулет маковый,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629470,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Рулет маковый,,,,,,
 24.08.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Рулет маковый,Тесто Сдобное п/ф,,,,кг,"0,250",,"0,250",,"  0,2500 ",,"0,225","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Рулет маковый,"НАЧИНКА МАКОВАЯ (готовая) 12,5",,,,кг,"0,100",,"0,100",,"  0,1000 ",,"0,080",,,,,
3,Рулет маковый,Меланж (битое яйцо 10 шт),,,,кг,"0,015",,"0,015",,"  0,0150 ",,"0,000",,,,,
4,Рулет маковый,Сироп для пропитки,,,,кг,"0,025",,"0,025",,"  0,0250 ",,"0,025",,,,,
5,Рулет маковый,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,001",,"0,004",,"  0,0040 ",,"0,004",,,,,
6,Рулет маковый,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,3341",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Сметанник,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688707,,,,,,,,,,,,Название на чеке:,,,,,,
